window_index,timestamp,node_name,node_ip,zone,node_type,bytes_sent,bytes_recv,pkts_sent,pkts_recv,pkt_drops,latency_ms,jitter_ms,tcp_connections,retransmits,queue_depth_bytes,queue_depth_pkts,bandwidth_limit_mbit,netem_delay_ms,netem_loss_pct,current_label,current_label_index,pred_horizon_15s_label,pred_horizon_15s_index,pred_horizon_30s_label,pred_horizon_30s_index,pred_horizon_60s_label,pred_horizon_60s_index
0,1777674868.937,r_ent2,10.255.0.12,enterprise-b,router,0,0,0,0,0,0.053,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
0,1777674868.937,r_home1,10.255.0.21,home-a,router,0,0,0,0,0,0.063,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
0,1777674868.937,r_home2,10.255.0.22,home-b,router,0,0,0,0,0,0.282,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,dc_monitor,172.16.1.40,datacenter,security,0,0,0,0,0,41.663,41.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,dc_pub_dns,172.16.1.53,datacenter,dns,0,0,0,0,0,6.317,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,dc_vpn,172.16.1.30,datacenter,server,0,0,0,0,0,0.312,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,dc_web,172.16.1.20,datacenter,server,0,0,0,0,0,0.113,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_TARGET,15,DDOS_TARGET,15,NORMAL,0
1,1777674896.278,e1_dhcp,10.10.1.2,enterprise-a,dhcp,0,0,0,0,0,8.806,8.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e1_dns,10.10.1.53,enterprise-a,dns,0,0,0,0,0,1.264,1.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e1_erp,10.10.1.40,enterprise-a,enterprise,0,0,0,0,0,0.7,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e1_pc1,10.10.1.11,enterprise-a,enterprise,0,0,0,0,0,0.386,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e1_pc2,10.10.1.12,enterprise-a,enterprise,0,0,0,0,0,0.596,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e2_crm,10.20.1.41,enterprise-b,enterprise,0,0,0,0,0,2.027,1.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e2_dhcp,10.20.1.2,enterprise-b,dhcp,0,0,0,0,0,7.858,7.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e2_dns,10.20.1.53,enterprise-b,dns,0,0,0,0,0,1.558,1.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e2_pc1,10.20.1.11,enterprise-b,enterprise,0,0,0,0,0,0.672,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,e2_pc2,10.20.1.12,enterprise-b,enterprise,0,0,0,0,0,11.341,11.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,h1_iot,192.168.10.31,home-a,iot,0,0,0,0,0,0.432,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,DDOS_SOURCE,14,DDOS_SOURCE,14,NORMAL,0
1,1777674896.278,h1_pc,192.168.10.11,home-a,home,0,0,0,0,0,0.271,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
1,1777674896.278,h1_tv,192.168.10.21,home-a,iot,0,0,0,0,0,0.682,0.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0,NORMAL,0,NORMAL,0,NORMAL,0
